Reference number,Reference URL,First author,Title,Journal,Year,Country in which trial conducted,Continent in which trial conducted,Clinical trial phase (detail),Clinical trial phase (broad),Mechanism of action,ISCT compliance claimed,ISCT compliance demonstrated,Given indication,Indication class code,Indication class,Route of administration,Source of MSC,Stem or Stromal cell,Allogeneic or autologous,Donor sex,Donor Age,Stringency of characterisation,Osteogenic differentiation capacity,Adipogenic differentiation capacity,Chondrogenic differentiation capacity,Other differentiation capacity,Other differentiation capacity: Type,Co-occurence of differentiation capacity,Differentiation,"Number of characterisation attribute
 tests performed, value reported","Number of characterisation attribute
 tests performed, no value reported","Number of characterisation attribute
 tests performed, total",Viability qualifier,Viability value,Viability status,Viability test,CD73 qualifier,CD73 value,CD73 status,CD73 test,CD90 qualifier,CD90 value,CD90 status,CD90 test,CD105 qualifier,CD105 value,CD105 status,CD105 test,CD34 qualifier,CD34 value,CD34 status,CD34 test,CD45 qualifier,CD45 value,CD45 status,CD45 test,CD11b qualifier,CD11b value,CD11b status,CD11b test,CD14 qualifier,CD14 value,CD14 status,CD14 test,CD79a qualifier,CD79a value,CD79a status,CD79a test,CD19 qualifier,CD19 value,CD19 status,CD19 test,HLA-DR qualifier,HLA-DR value,HLA-DR status,HLA-DR test,CD3 qualifier,CD3 value,CD3 test,CD13 value,CD13 test,CD31 qualifer,CD31 value,CD31 test,CD133 qualifier,CD133 value,CD133 status,CD133 test,CD166 qualifier,CD166 value,CD166 status,CD166 test,CD29 qualifier,CD29 value,CD29 status,CD29 test,CD44 qualifier,CD44 value,CD44 status,CD44 test,CD146 value,CD146 test,CD271 value,CD271 test,STRO-1 value,STRO-1 test,MSCA-1 value,MSCA-1 test,SSEA-4 value,SSEA-4 test,Other markers noted
10,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0227,Pang,Allogeneic Bone?Marrow?Derived Mesenchymal stromal Cells Expanded in vitro for Treatment of Aplastic Anemia: A Multicenter Phase II Trial,Stem Cells Translational Medicine,2017,China,Asia,II,II,Immune,y,n,Aplastic anemia,Haem,Haematology,Intravenous,Bone marrow,Stromal,Allogeneic,Both,Adult,2. Average % reported,"Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Not mentioned,Demonstrated (OA),Yes,3,3,6,NA,NA,NA,n,greater than,92,measure,p,greater than,92,measure,p,greater than,92,NA,p,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
11,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0372,Chambers,Mesenchymal Stromal Cell Therapy for Chronic Lung Allograft Dysfunction: Results of a First?in?Man Study,Stem Cells Translational Medicine,2017,Australia,Australia,I,I,Immune,n,n/a (not claimed),Chronic Lung Allograft Dysfunction ,IM,Immune,Intravenous,Bone marrow,Stromal,Allogeneic,Both,Adult,4. Stated as 'standard phenotype',"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,1,4,5,greater than,70,release,p,NA,+,release,m,NA,+,release,m,NA,+,release,m,NA,NA,NA,n,NA,X,release,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
12,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0199,Whitehouse,Repair of Torn Avascular Meniscal Cartilage Using Undifferentiated Autologous Mesenchymal Stem Cells: From In Vitro Optimization to a First?in?Human Study,Stem Cells Translational Medicine,2017,UK,Europe,I/IIa,I,Paracrine,n,n/a (not claimed),Meniscus repair,MS,Musculoskeletal,Implant,Bone marrow,Stem,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,5,0,5,greater than,90,measure,p,NA,NA,NA,n,greater than,80,release,p,greater than,80,release,p,less than,10,release,p,less than,10,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
13,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.5966/sctm.2016-0237,Gupta,"Administration of Adult Human Bone Marrow?Derived, Cultured, Pooled, Allogeneic Mesenchymal Stromal Cells in Critical Limb Ischemia Due to Buerger’s Disease: Phase II Study Report Suggests Clinical Efficacy",Stem Cells Translational Medicine,2017,India,Asia,II,II,Paracrine,n,n/a (not claimed),Critical limb ischaemia,CVS,Cardiovascular,Intramuscular,Bone marrow,Stromal,Allogeneic,Not stated,Adult,2. Average % reported,"Performed, value reported","Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Demonstrated (OAC),Yes,11,0,11,greater than,85,release,p,greater than,80,release,p,greater than,80,release,p,greater than,80,release,p,less than,5,release,p,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,less than,5,release,p,NA,NA,n,NA,n,NA,NA,n,less than,5,release,p,greater than,80,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
14,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0315,de Oliveira,Combined Bone Marrow-Derived Mesenchymal Stromal Cell Therapy and One-Way Endobronchial Valve Placement in Patients with Pulmonary Emphysema: A Phase I Clinical Trial,Stem Cells Translational Medicine,2017,Brazil,South America,I,I,Paracrine,n,n/a (not claimed),Pulmonary emphysema,Resp,Respiratory,Topical,Bone marrow,Stromal,Allogeneic,Not stated,Adult,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,11,0,11,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,NA,NA,n,NA,I,NA,p,NA,NA,NA,n,NA,I,NA,p,NA,I,NA,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,I,NA,p,NA,I,NA,p,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5442809/,Park,Cartilage Regeneration in Osteoarthritic Patients by a Composite of Allogeneic Umbilical Cord Blood?Derived Mesenchymal Stem Cells and Hyaluronate Hydrogel: Results from a Clinical Trial for Safety and Proof?of?Concept with 7 Years of Extended Follow?Up,Stem Cells Translational Medicine,2017,Korea (Republic of),Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Osteoarthritis,MS,Musculoskeletal,Intraarticular,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,4. Stated as 'standard phenotype',Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
16,https://www.hindawi.com/journals/sci/2017/5237063/,Qayyam,Adipose-Derived Stromal Cells for Treatment of Patients with Chronic Ischemic Heart Disease (MyStromalCell Trial): A Randomized Placebo-Controlled Study,Stem Cells Translational Medicine,2017,Denmark,Europe,II,II,Paracrine,y,n,Angina,CVS,Cardiovascular,Intracardiac,Adipose,Stromal,Autologous,Not stated,Not stated,4. Stated as 'standard phenotype',Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
17,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.18-0183,Chahal,Bone Marrow Mesenchymal Stromal Cells in Patients with Osteoarthritis Results in Overall Improvement in Pain and Symptoms and Reduces Synovial Inflammation,Stem Cells Translational Medicine,2019,Canada,North America,I/IIa,I,Paracrine,y,n,Osteoarthritis,MS,Musculoskeletal,Intraarticular,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,9,0,9,minimum,70,release,p,minimum,95,release,p,minimum,95,release,p,minimum,95,release,p,maximum,2,release,p,maximum,2,release,p,NA,NA,NA,n,maximum,2,release,p,NA,NA,NA,n,maximum,2,release,p,maximum,2,release,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
18,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.18-0122,Lee,"Intra?Articular Injection of Autologous Adipose Tissue?Derived Mesenchymal Stem Cells for the Treatment of Knee Osteoarthritis: A Phase IIb, Randomized, Placebo?Controlled Clinical Trial",Stem Cells Translational Medicine,2019,Korea (Republic of),Asia,IIb,II,Paracrine,n,n/a (not claimed),Osteoarthritis,MS,Musculoskeletal,Intraarticular,Adipose,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,5,6,average,92.8,measure,p,NA,d,NA,m,NA,d,NA,m,NA,NA,NA,n,NA,d,NA,m,NA,d,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,d,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
19,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.18-0230,Schweizer,A Phase I Study to Assess the Safety and Cancer?Homing Ability of Allogeneic Bone Marrow?Derived Mesenchymal Stem Cells in Men with Localized Prostate Cancer,Stem Cells Translational Medicine,2019,USA,North America,I,I,Paracrine,n,n/a (not claimed),Tumour homing,TH,Tumour homing,Intravenous,Bone marrow,Stem,Allogeneic,Male,Adult,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6301165/,Barczewska,Safety of intrathecal injection of Wharton’s jelly-derived mesenchymal stem cells in amyotrophic lateral sclerosis therapy,Neural Regeneration Research,2019,Poland,Europe,I,I,Paracrine,n,n/a (not claimed),Amyotrophic lateral sclerosis,CNS,Nervous system,Intrathecal,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
21,https://www.ncbi.nlm.nih.gov/pubmed/28684893,Bhasin,Safety and Feasibility of Autologous Mesenchymal Stem Cell Transplantation in Chronic Stroke in Indian patients. A four-year follow up,J Stem Cells & Regen Med,2017,India,Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Stroke (multiple aetiologies),CeV,Cerebrovascular,Intravenous,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,4,1,5,average,98,measure,p,average,57.1,measure,p,average,61,measure,p,average,40,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
22,https://journals.sagepub.com/doi/full/10.3727/096368917X695038,Zhao,Clinical Study of NeuroRegen Scaffold Combined With Human Mesenchymal Stem Cells for the Repair of Chronic Complete Spinal Cord Injury,CELL TRANSPLANTATION,2017,China,Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Implant,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,3. Tests done but % not reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,7,7,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
23,https://stemcellsjournals.onlinelibrary.wiley.com/doi/epdf/10.5966/sctm.2015-0356,Garcia-Arranz,Treatment of Crohn’s-Related Rectovaginal Fistula With Allogeneic Expanded-Adipose Derived Stem Cells: A Phase I–IIa Clinical Trial,Stem Cells Translational Medicine,2016,Spain,Europe,I/IIa,I,Not stated,y,n/a (not claimed),Perianal fistula (Crohn's),GU,Genito-urinary,Local injection,Adipose,Stem,Allogeneic,Not stated,Not stated,4. Stated as 'standard phenotype',Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
